#Data tag : 24v2 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/pb) | recorded(/pb) |
| 167673:1890 | 06/24/11 18:58:11 | 114  | 114  | 3.206688948    | 3.128402001   |
| 167674:1890 | 06/24/11 21:00:22 | 118  | 118  | 2.994925800    | 2.942169243   |
| 167675:1890 | 06/24/11 23:12:35 | 380  | 380  | 8.228775591    | 8.072060523   |
| 167676:1890 | 06/25/11 06:23:17 | 130  | 130  | 2.385493221    | 2.365301062   |
| 167740:1893 | 06/25/11 21:05:28 | 19   | 19   | 0.539327877    | 0.531448731   |
| 167746:1894 | 06/26/11 00:28:44 | 131  | 131  | 3.673003680    | 3.612604822   |
| 167784:1898 | 06/26/11 11:03:50 | 9    | 9    | 0.260331230    | 0.239610273   |
| 167786:1898 | 06/26/11 11:42:27 | 84   | 84   | 2.253703981    | 2.183813141   |
| 167807:1900 | 06/26/11 22:41:07 | 949  | 949  | 23.346456939   | 23.043342024  |
| 167830:1900 | 06/27/11 10:20:33 | 440  | 440  | 7.711113193    | 7.598959319   |
| 167898:1901 | 06/27/11 22:32:33 | 757  | 757  | 18.670336793   | 18.345302377  |
| 167913:1901 | 06/28/11 09:17:39 | 145  | 145  | 2.725327046    | 2.699570759   |
+-------------+-------------------+------+------+----------------+---------------+
#Summary: 
+-------+------+-------+-------+-------------------+------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/pb) | totrecorded(/pb) |
+-------+------+-------+-------+-------------------+------------------+
| 45    | 136  | 16982 | 16982 | 222.029099394     | 217.800098200    |
+-------+------+-------+-------+-------------------+------------------+
#Check JSON:
#(run,ls) in json but not in results: [(160957, 1), (161176, 1), (163270, 1), (163483, 1), (163765, 1)]
